PERMNO|DATE|PRC
71475|20001117|32.5625
71475|20001120|32.75
71475|20001121|33.375
71475|20001122|33.3125
71475|20001124|34.4375
71475|20001127|33.6875
71475|20001128|33.4375
71475|20001129|33.25
71475|20001130|33.6875
71475|20001201|34.3125
71475|20001204|34.25
71475|20001205|34.5
71475|20001206|33.125
71475|20001207|33.9375
71475|20001208|34.5
71475|20001211|35.1875
71475|20001212|35.3125
71475|20001213|35.1875
71475|20001214|35.25
71475|20001215|35.875
71475|20001218|35.375
71475|20001219|35.5
71475|20001220|34
71475|20001221|34.125
71475|20001222|35.25
71475|20001226|34.8125
71475|20001227|35.9375
71475|20001228|37.125
71475|20001229|36.875
71475|20010102|34.8125
71475|20010103|34.6875
71475|20010104|33.9375
71475|20010105|32.875
71475|20010108|33.625
71475|20010109|33.0625
71475|20010110|33.3125
71475|20010111|33.5625
71475|20010112|34
71475|20010116|32.8125
71475|20010117|32.625
71475|20010118|33.5
71475|20010119|33.1875
71475|20010122|33.0625
71475|20010123|32.25
71475|20010124|31.75
71475|20010125|31.8125
71475|20010126|32.125
71475|20010129|32.35
71475|20010130|31.4
71475|20010131|31.39
71475|20010201|31.79
71475|20010202|31.9
71475|20010205|32.06
71475|20010206|32.6
71475|20010207|33.95
71475|20010208|33.2
71475|20010209|32.7
71475|20010212|33.95
71475|20010213|34.45
71475|20010214|34.2
71475|20010215|33.7
71475|20010216|32.6
71475|20010220|32.1
71475|20010221|31.44
71475|20010222|30
71475|20010223|30
71475|20010226|31.1
71475|20010227|31
71475|20010228|30.6
71475|20010301|31.2
71475|20010302|31.9
71475|20010305|32.77
71475|20010306|32.65
71475|20010307|32.84
71475|20010308|32.53
71475|20010309|32.3
71475|20010312|31.18
71475|20010313|31.3
71475|20010314|31.4
71475|20010315|30.9
71475|20010316|30.8
71475|20010319|31.8
71475|20010320|31.4
71475|20010321|30.3
71475|20010322|30
71475|20010323|30.3
71475|20010326|31.1
71475|20010327|32
71475|20010328|32.25
71475|20010329|32.95
71475|20010330|33.11
71475|20010402|32.95
71475|20010403|32.27
71475|20010404|32.12
71475|20010405|32.56
71475|20010406|31.86
71475|20010409|32.07
71475|20010410|32.32
71475|20010411|32.95
71475|20010412|33.02
71475|20010416|33.3
71475|20010417|33.6
71475|20010418|32.6
71475|20010419|33.16
71475|20010420|33.1
71475|20010423|33.1
71475|20010424|33.15
71475|20010425|33.85
71475|20010426|33.3
71475|20010427|33.1
71475|20010430|32.9
71475|20010501|32.95
71475|20010502|32
71475|20010503|31.15
71475|20010504|31.1
71475|20010507|30.9
71475|20010508|30.45
71475|20010509|30.2
71475|20010510|29.6
71475|20010511|29.03
71475|20010514|29.75
71475|20010515|30.69
71475|20010516|31.2
71475|20010517|30.95
71475|20010518|30.84
71475|20010521|31.15
71475|20010522|31.75
71475|20010523|31.95
71475|20010524|31.3
71475|20010525|31.6
71475|20010529|30.75
71475|20010530|30.45
71475|20010531|30.4
71475|20010601|30.1
71475|20010604|30.5
71475|20010605|31.3
71475|20010606|31.36
71475|20010607|31.55
71475|20010608|31.91
71475|20010611|32.31
71475|20010612|32.89
71475|20010613|32.51
71475|20010614|31.79
71475|20010615|32.6
71475|20010618|31.95
71475|20010619|31.75
71475|20010620|32.1
71475|20010621|32
71475|20010622|31.55
71475|20010625|31.1
71475|20010626|31.6
71475|20010627|32.3
71475|20010628|33.04
71475|20010629|34
71475|20010702|33.55
71475|20010703|33.2
71475|20010705|33.2
71475|20010706|33.2
71475|20010709|33.19
71475|20010710|33.11
71475|20010711|33
71475|20010712|33.5
71475|20010713|33.83
71475|20010716|32.8
71475|20010717|32.9
71475|20010718|33.65
71475|20010719|33.84
71475|20010720|34.24
71475|20010723|34.88
71475|20010724|35.5
71475|20010725|35.25
71475|20010726|36.1
71475|20010727|34.9
71475|20010730|34.71
71475|20010731|34.28
71475|20010801|33.98
71475|20010802|34
71475|20010803|34.8
71475|20010806|35.1
71475|20010807|35.3
71475|20010808|35.15
71475|20010809|35.5
71475|20010810|35.7
71475|20010813|36.7
71475|20010814|37.45
71475|20010815|37.35
71475|20010816|36.75
71475|20010817|37.01
71475|20010820|37.35
71475|20010821|36.9
71475|20010822|37.3
71475|20010823|36.75
71475|20010824|36.85
71475|20010827|37.25
71475|20010828|37.3
71475|20010829|37.79
71475|20010830|37.98
71475|20010831|37.85
71475|20010904|37.7
71475|20010905|37
71475|20010906|34.7
71475|20010907|33.5
71475|20010910|33.15
71475|20010917|34.6
71475|20010918|36.1
71475|20010919|35.95
71475|20010920|34.95
71475|20010921|35
71475|20010924|36
71475|20010925|35.8
71475|20010926|35.6
71475|20010927|36.58
71475|20010928|37
71475|20011001|35.75
71475|20011002|36.1
71475|20011003|36.5
71475|20011004|36.25
71475|20011005|35.95
71475|20011008|35.5
71475|20011009|35
71475|20011010|35.85
71475|20011011|35.3
71475|20011012|34.35
71475|20011015|33.7
71475|20011016|33.3
71475|20011017|32.8
71475|20011018|32.8
71475|20011019|33.15
71475|20011022|34.3
71475|20011023|34
71475|20011024|34.1
71475|20011025|34.48
71475|20011026|34.45
71475|20011029|33.9
71475|20011030|34.1
71475|20011031|33.4
71475|20011101|33.85
71475|20011102|33.8
71475|20011105|33.7
71475|20011106|34.1
71475|20011107|34.28
71475|20011108|33.4
71475|20011109|33.16
71475|20011112|33.87
71475|20011113|33.95
71475|20011114|34.25
71475|20011115|34.6
71475|20011116|35
71475|20011119|35.1
71475|20011120|35.25
71475|20011121|35.24
71475|20011123|35.35
71475|20011126|35.45
71475|20011127|35.1
